planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
Kepler-1742 b,,0.19431,0.2587,462.0,Kepler-1742,0.99,0.865,0.5,5582.0
Kepler-1743 b,,0.142637,0.0822,1144.0,Kepler-1743,1.0,2.0998,5.1,5624.37
Kepler-1744 b,,0.33607,0.2093,532.0,Kepler-1744,1.0,0.941,,5623.54
Kepler-1745 b,,0.17201,0.0408,1449.0,Kepler-1745,0.98,1.08087,2.1,5572.72
Kepler-1746 b,,0.797,0.9453,310.0,Kepler-1746,1.22,1.499,,6270.99
Kepler-1747 b,,0.3805,0.066,875.0,Kepler-1747,0.88,0.982,0.7,5174.0
Kepler-1748 b,,0.242013,0.0615,955.0,Kepler-1748,0.93,0.77,,5376.0
Kepler-1749 b,,0.1439,0.0956,420.0,Kepler-1749,0.66,0.621,13.9,4238.82
Kepler-174 b,,0.175,0.1,,Kepler-174,,0.62,,4880.0
Kepler-174 c,,0.133,0.214,,Kepler-174,,0.62,,4880.0
Kepler-174 d,,0.195,0.677,,Kepler-174,,0.62,,4880.0
Kepler-1750 b,,0.53565,0.6785,298.0,Kepler-1750,0.96,1.193,0.5,5474.0
Kepler-1751,,0.16273,0.0712,984.0,Kepler-1751,1.02,1.057,1.9,5732.0
Kepler-1752 b,,0.405,0.2698,419.0,Kepler-1752,0.89,0.7748,7.2,5214.0
Kepler-1753 b,,0.20225,0.1179,583.0,Kepler-1753,0.83,0.697,6.2,5007.0
Kepler-1754 b,,0.2177,0.0718,672.0,Kepler-1754,0.72,0.794,,4553.0
Kepler-1755 b,,0.5278729,0.1668,631.0,Kepler-1755,1.2,1.176,0.3,6229.0
Kepler-1756 b,,0.13132,0.0319,1083.0,Kepler-1756,0.781,0.812,13.7,4915.0
Kepler-1757 b,,0.26288,0.1335,549.0,Kepler-1757,0.87,0.822,0.7,5146.0
Kepler-1758 b,,0.2293,0.0919,1028.0,Kepler-1758,1.1,1.621,0.4,5995.0
Kepler-1759 b,,0.080623,0.0429,954.0,Kepler-1759,0.796,0.732,13.8,4878.0
Kepler-175 b,,0.228,0.105,,Kepler-175,1.04,1.01,,6064.0
Kepler-175 c,,0.277,0.213,,Kepler-175,1.04,1.01,,6064.0
Kepler-1760 b,,0.204293,0.2084,480.0,Kepler-1760,0.821,0.903,0.6,5229.0
Kepler-1761 b,,0.1241,0.0413,613.0,Kepler-1761,0.587,0.5992,13.9,3802.0
Kepler-1762 b,,0.2462,0.204,714.0,Kepler-1762,1.19,1.27,0.28,6198.0
Kepler-1763 b,,0.102285,0.0257,1822.0,Kepler-1763,1.1,1.281,5.4,5969.97
Kepler-1764 b,,0.40637,,511.0,Kepler-1764,1.14,1.45,0.24,6085.02
Kepler-1765 b,,0.22259,0.0917,855.0,Kepler-1765,1.006,0.887,11.9,5665.0
Kepler-1766 b,,0.20332,0.4229,406.0,Kepler-1766,1.039,1.2159,7.3,5788.86
Kepler-1767 b,,0.268795,0.2873,393.0,Kepler-1767,0.88,0.697,0.6,5172.78
Kepler-1768 b,,0.19922,0.1286,933.0,Kepler-1768,1.22,1.1816,,6264.0
Kepler-1769 b,,0.39834,0.3987,483.0,Kepler-1769,1.18,1.12,2.67,6173.0
Kepler-176 b,,0.128,0.058,,Kepler-176,,0.89,,5232.0
Kepler-176 c,,0.232,0.102,,Kepler-176,,0.89,,5232.0
Kepler-176 d,,0.224,0.163,,Kepler-176,,0.89,,5232.0
Kepler-176 e,,0.129,,,Kepler-176,,0.89,,5232.0
Kepler-1770 b,,0.25346,0.1261,699.0,Kepler-1770,0.97,0.859,12.3,5520.0
Kepler-1771 b,,0.36177,0.3815,391.0,Kepler-1771,0.941,0.934,0.8,5661.0
Kepler-1772 b,,0.23963,0.0418,1155.0,Kepler-1772,0.99,1.8411,5.1,5582.0
Kepler-1773 b,,0.31267,0.2489,623.0,Kepler-1773,1.16,1.41,2.91,6136.0
Kepler-1774 b,,0.28379,0.3096,522.0,Kepler-1774,1.09,1.174,2.5,5942.35
Kepler-1775 b,,0.32537,0.3986,522.0,Kepler-1775,1.08,1.266,0.4,5910.19
Kepler-1776 b,,0.232984,0.2142,602.0,Kepler-1776,1.09,1.132,0.6,5961.17
Kepler-1777 b,,0.19012,0.1031,819.0,Kepler-1777,0.99,1.0225,3.1,5600.06
Kepler-1778 b,,0.269125,0.0956,942.0,Kepler-1778,1.06,1.08,0.3,5875.0
Kepler-1779 b,,0.270579,0.1264,730.0,Kepler-1779,1.02,0.963,0.6,5714.0
Kepler-177 b,0.01837,0.312,,,Kepler-177,0.92,1.32,,5732.0
Kepler-177 c,0.04625,0.779,,,Kepler-177,0.92,1.32,,5732.0
Kepler-1780 b,,0.32171,0.4276,340.0,Kepler-1780,0.93,0.895,0.6,5385.22
Kepler-1781 b,,0.2123,0.0574,1003.0,Kepler-1781,0.88,0.816,0.9,5190.0
Kepler-1782 b,,0.19886,0.0582,773.0,Kepler-1782,0.79,0.741,14.0,4867.0
Kepler-1783 b,,0.11771,0.077,1088.0,Kepler-1783,0.859,0.7588,13.9,5111.02
Kepler-1784 b,,0.249739,0.1072,724.0,Kepler-1784,0.96,0.966,13.8,5475.0
Kepler-1785 b,,0.24124,0.1379,666.0,Kepler-1785,1.02,1.0169,0.3,5734.0
Kepler-1786 b,,0.28219,0.3659,501.0,Kepler-1786,1.02,1.22294,0.5,5718.47
Kepler-1787 b,,0.20688,0.227,540.0,Kepler-1787,1.04,0.881,0.3,5808.0
Kepler-1788 b,,0.212197,0.0343,956.0,Kepler-1788,0.74,0.756,13.8,4670.0
Kepler-1789 b,,0.252594,0.3543,380.0,Kepler-1789,0.96,0.845,4.5,5495.0
Kepler-178 b,,0.259,0.085,,Kepler-178,,1.07,,5676.0
Kepler-178 c,,0.257,0.142,,Kepler-178,,1.07,,5676.0
Kepler-178 d,,0.352,0.397,,Kepler-178,,1.07,,5676.0
Kepler-1790 b,,0.2801,,,Kepler-1790,1.15,1.39,,6108.0
Kepler-1791 b,,0.27844,0.0761,1021.0,Kepler-1791,0.985,1.177,3.73,5887.0
Kepler-1792 b,,0.2248,0.0488,1047.0,Kepler-1792,0.825,0.7467,,4985.0
Kepler-1793 b,,0.3381,0.0787,713.0,Kepler-1793,0.91,0.9058,3.6,5300.76
Kepler-1794 c,,0.160069,0.0821,703.0,Kepler-1794,0.812,0.6759,14.0,4940.0
Kepler-1795 b,,0.14836,0.1002,520.0,Kepler-1795,0.768,0.688,5.8,4500.0
Kepler-1796 b,,0.2453,0.1879,598.0,Kepler-1796,1.15,1.02456,0.4,6103.0
Kepler-1797 b,,0.272792,0.1637,684.0,Kepler-1797,1.02,1.097,0.4,5709.57
Kepler-1798 b,,0.206006,0.1082,408.0,Kepler-1798,0.65,0.641,13.9,3972.0
Kepler-1799 b,,0.36828,0.1028,770.0,Kepler-1799,0.97,1.558,0.5,5540.0
Kepler-179 b,,0.146,0.036,,Kepler-179,,0.76,,5302.0
Kepler-179 c,,0.178,0.064,,Kepler-179,,0.76,,5302.0
Kepler-17 b,2.45,1.31,0.02591,1570.0,Kepler-17,1.16,1.05,1.78,5781.0
Kepler-1800 b,,0.0889284,0.0592,1533.0,Kepler-1800,0.89,0.9883,14.0,5211.68
Kepler-1801 b,,0.241701,0.0915,829.0,Kepler-1801,0.95,0.866,8.1,5455.0
Kepler-1801 c,,0.36212,0.4572,371.0,Kepler-1801,0.95,0.866,8.1,5455.0
Kepler-1802 Bb,,0.111,0.0653,557.0,Kepler-1802 B,0.649,0.637,13.9,4245.0
Kepler-1802 Bc,,0.168,0.1723,343.0,Kepler-1802 B,0.649,0.637,13.9,4245.0
Kepler-1804 b,,0.14239,0.1017,913.0,Kepler-1804,0.79,0.779,14.0,4869.0
Kepler-1805 b,,0.13784,0.0699,436.0,Kepler-1805,0.585,0.596,13.8,3796.0
Kepler-1806 b,,0.2101,0.0813,729.0,Kepler-1806,0.85,0.783,0.6,5078.0
Kepler-1807 b,,0.241228,0.0988,1108.0,Kepler-1807,1.27,1.646,2.95,6363.16
Kepler-1808 b,,0.26987,0.1467,602.0,Kepler-1808,0.96,1.028,12.1,5491.0
Kepler-1809 b,,0.13498,0.0435,877.0,Kepler-1809,0.808,0.799,7.0,4922.21
Kepler-180 b,,0.134,0.109,,Kepler-180,0.84,1.06,,5731.0
Kepler-180 c,,0.269,0.229,,Kepler-180,0.84,1.06,,5731.0
Kepler-1810 b,,0.34954,0.4137,380.0,Kepler-1810,0.95,0.933,4.5,5453.7
Kepler-1811 b,,0.3433,0.3462,455.0,Kepler-1811,1.02,1.21,0.4,5733.0
Kepler-1812 b,,0.207415,0.0765,1034.0,Kepler-1812,1.24,1.152,1.0,6317.0
Kepler-1813 Ab,,0.12606,0.0364,1059.0,Kepler-1813 A,0.812,0.787,2.3,5167.0
Kepler-1814 b,,0.21135,0.0371,1022.0,Kepler-1814,0.77,0.821,,4761.0
Kepler-1814 c,,0.14765,0.0133,1711.0,Kepler-1814,0.77,0.821,,4761.0
Kepler-1815 b,,0.245242,0.0984,763.0,Kepler-1815,1.02,0.98,13.5,5730.0
Kepler-1816 b,,0.17557,0.3648,310.0,Kepler-1816,0.803,0.75,0.7,4906.0
Kepler-1817 b,,0.20279,0.2348,463.0,Kepler-1817,0.92,0.76,0.4,5318.0
Kepler-1818 b,,0.152878,0.055,1209.0,Kepler-1818,1.07,1.289,5.4,5908.0
Kepler-1819 b,,0.34825,0.1337,754.0,Kepler-1819,1.01,1.144,0.4,5670.0
Kepler-181 b,,0.113,0.04,,Kepler-181,,0.75,,5333.0
Kepler-181 c,,0.178,0.049,,Kepler-181,,0.75,,5333.0
Kepler-1820 b,,0.278243,0.1964,561.0,Kepler-1820,0.98,1.0496,0.4,5563.0
Kepler-1821 b,,0.23124,0.1244,644.0,Kepler-1821,0.97,0.9468,0.4,5524.03
Kepler-1822 b,,0.23615,0.1416,507.0,Kepler-1822,0.92,0.844,0.8,5329.0
Kepler-1823 b,,0.1861,0.1528,804.0,Kepler-1823,1.19,1.207,1.88,6198.0
Kepler-1824 b,,0.212438,0.4267,449.0,Kepler-1824,1.25,1.16,0.33,6319.0
Kepler-1825 b,,0.12686,0.0187,1520.0,Kepler-1825,0.835,0.716,14.4,5021.85
Kepler-1826 b,,0.13159,0.0213,806.0,Kepler-1826,0.592,0.6048,13.8,3890.0
Kepler-1827 b,,0.16558,0.0455,1329.0,Kepler-1827,0.915,2.018,13.2,5387.0
Kepler-1828 b,,0.188769,0.0924,799.0,Kepler-1828,0.97,0.959,0.4,5528.0
Kepler-1829 b,,0.221145,0.0559,860.0,Kepler-1829,0.84,0.828,4.4,5055.0
Kepler-182 b,,0.23,0.096,,Kepler-182,1.14,1.15,,6250.0
Kepler-182 c,,0.306,0.157,,Kepler-182,1.14,1.15,,6250.0
Kepler-1830 b,,0.297076,0.3259,681.0,Kepler-1830,1.22,1.75,0.32,6273.82
Kepler-1831 b,,0.1758,0.0655,1051.0,Kepler-1831,1.03,0.948,0.3,5774.0
Kepler-183 b,,0.184,0.064,,Kepler-183,,0.96,,5888.0
Kepler-183 c,,0.203,0.103,,Kepler-183,,0.96,,5888.0
Kepler-184 b,,0.211,0.092,,Kepler-184,,0.87,,5788.0
Kepler-184 c,,0.176,0.141,,Kepler-184,,0.87,,5788.0
Kepler-184 d,,0.222,0.179,,Kepler-184,,0.87,,5788.0
Kepler-185 b,,0.104,0.026,,Kepler-185,0.79,0.81,,5208.0
Kepler-185 c,,0.18,0.139,,Kepler-185,0.79,0.81,,5208.0
Kepler-186 b,,0.095,0.0343,,Kepler-186,0.54,0.52,4.0,3755.0
Kepler-186 c,,0.112,0.0451,,Kepler-186,0.54,0.52,4.0,3755.0
Kepler-186 d,,0.125,0.0781,,Kepler-186,0.54,0.52,4.0,3755.0
Kepler-186 e,,0.113,0.11,,Kepler-186,0.54,0.52,4.0,3755.0
Kepler-186 f,,0.104,0.432,,Kepler-186,0.54,0.52,4.0,3755.0
Kepler-1876 b,0.0076,0.0761,0.0758,1300.0,Kepler-1876,1.19,1.48,4.4,6104.0
Kepler-187 b,,0.126,0.059,,Kepler-187,0.85,1.29,,6105.0
Kepler-187 c,,0.238,0.099,,Kepler-187,0.85,1.29,,6105.0
Kepler-188 b,,0.15,0.032,,Kepler-188,,1.14,,6021.0
Kepler-188 c,,0.285,0.066,,Kepler-188,,1.14,,6021.0
Kepler-189 b,,0.108,0.088,,Kepler-189,0.79,0.75,,5235.0
Kepler-189 c,,0.212,0.137,,Kepler-189,0.79,0.75,,5235.0
Kepler-18 b,0.022,0.178,0.0447,,Kepler-18,0.97,1.11,10.0,5345.0
Kepler-18 c,0.054,0.49,0.0752,,Kepler-18,0.97,1.11,10.0,5345.0
Kepler-18 d,0.052,0.623,0.1172,,Kepler-18,0.97,1.11,10.0,5345.0
Kepler-190 b,,0.139,0.03,,Kepler-190,0.84,0.8,,5106.0
Kepler-190 c,,0.13,0.045,,Kepler-190,0.84,0.8,,5106.0
Kepler-191 b,,0.12,0.087,,Kepler-191,0.85,0.79,,5282.0
Kepler-191 c,,0.166,0.128,,Kepler-191,0.85,0.79,,5282.0
Kepler-191 d,,0.203,,,Kepler-191,0.85,0.79,,5282.0
Kepler-1928 b,,0.17772,0.194,755.0,Kepler-1928,1.01,0.92,0.105,5720.0
Kepler-192 b,,0.244,0.09,,Kepler-192,,1.01,,5479.0
Kepler-192 c,,0.249,0.15,,Kepler-192,,1.01,,5479.0
Kepler-192 d,,0.091,,,Kepler-192,,1.01,,5479.0
Kepler-193 b,,0.213,0.106,,Kepler-193,,1.15,,6335.0
Kepler-193 c,,0.245,0.286,,Kepler-193,,1.15,,6335.0
Kepler-194 b,,0.135,0.032,,Kepler-194,,1.02,,6089.0
Kepler-194 c,,0.231,0.131,,Kepler-194,,1.02,,6089.0
Kepler-194 d,,0.214,0.275,,Kepler-194,,1.02,,6089.0
Kepler-195 b,,0.181,0.077,,Kepler-195,,0.78,,5329.0
Kepler-195 c,,0.138,0.197,,Kepler-195,,0.78,,5329.0
Kepler-1962 b,,0.10831,0.0783,901.0,Kepler-1962,1.03,0.87,,5766.0
Kepler-196 b,,0.17,0.138,,Kepler-196,,0.78,,5128.0
Kepler-196 c,,0.2,0.24,,Kepler-196,,0.78,,5128.0
Kepler-196 d,,0.2373,0.4484,297.0,Kepler-196,,0.78,,5128.0
Kepler-1970 b,2.1,,,,Kepler-1970,1.456,2.233,,5975.3
Kepler-1971 b,0.00107,0.0455,0.008,1180.0,Kepler-1971,0.41,0.4,3.5,3515.0
Kepler-1972 b,0.00636,0.07155,0.0794,1392.0,Kepler-1972,1.12,1.384,7.4,5818.0
Kepler-1972 c,0.00664,0.07744,0.1025,,Kepler-1972,1.12,1.384,7.4,5818.0
Kepler-1973 b,0.0544,0.384,0.0504,1022.0,Kepler-1973,0.928,0.818,,5295.0
Kepler-1973 c,0.6601,,0.1467,597.0,Kepler-1973,0.928,0.818,,5295.0
Kepler-1974 b,,0.1981,0.0678,805.0,Kepler-1974,0.883,0.827,,5225.0
Kepler-1975 Ab,,0.1998,,,Kepler-1975 A,0.76,0.79,,
Kepler-197 b,,0.091,0.06,,Kepler-197,,1.12,,6004.0
Kepler-197 c,0.017,0.11,0.09,,Kepler-197,,1.12,,6004.0
Kepler-197 d,,0.109,0.119,,Kepler-197,,1.12,,6004.0
Kepler-197 e,,0.081,0.164,,Kepler-197,,1.12,,6004.0
Kepler-198 b,,0.252,0.131,,Kepler-198,0.93,0.94,,5574.0
Kepler-198 c,,0.22,0.259,,Kepler-198,0.93,0.94,,5574.0
Kepler-198 d,,0.136,,,Kepler-198,0.93,0.94,,5574.0
Kepler-199 b,,0.277,0.158,,Kepler-199,,0.97,,5644.0
Kepler-199 c,,0.29,0.316,,Kepler-199,,0.97,,5644.0
Kepler-19 b,0.02643,0.198,0.085,,Kepler-19,0.94,0.86,1.9,5544.0
Kepler-19 c,0.04122,,,,Kepler-19,0.94,0.86,1.9,5544.0
Kepler-19 d,0.07079,,,,Kepler-19,0.94,0.86,1.9,5544.0
Kepler-2002 b,23.0,0.25,0.1357,758.0,Kepler-2002,0.91,1.2,8.0,5900.0
Kepler-200 b,,0.19,0.08,,Kepler-200,,0.94,,5678.0
Kepler-200 c,,0.142,0.09,,Kepler-200,,0.94,,5678.0
Kepler-201 b,,0.219,0.175,,Kepler-201,1.17,1.23,,6065.0
Kepler-201 c,,0.254,0.573,,Kepler-201,1.17,1.23,,6065.0
Kepler-202 b,,0.145,0.045,,Kepler-202,,0.67,,4668.0
Kepler-202 c,,0.165,0.113,,Kepler-202,,0.67,,4668.0
Kepler-203 b,,0.229,0.043,,Kepler-203,0.98,1.11,,5821.0
Kepler-203 c,,0.22,0.061,,Kepler-203,0.98,1.11,,5821.0
Kepler-203 d,,0.128,0.1,,Kepler-203,0.98,1.11,,5821.0
Kepler-204 b,,0.226,0.117,,Kepler-204,0.96,1.24,,5812.0
Kepler-204 c,,0.16,0.173,,Kepler-204,0.96,1.24,,5812.0
Kepler-205 b,,0.135,0.032,,Kepler-205,,0.55,,4321.0
Kepler-205 c,,0.146,0.122,,Kepler-205,,0.55,,4321.0
Kepler-206 b,,0.107,0.078,,Kepler-206,0.94,1.19,,5764.0
Kepler-206 c,,0.158,0.111,,Kepler-206,0.94,1.19,,5764.0
Kepler-206 d,,0.106,0.163,,Kepler-206,0.94,1.19,,5764.0
Kepler-207 b,,0.14,0.029,,Kepler-207,,1.59,,5920.0
Kepler-207 c,,0.134,0.044,,Kepler-207,,1.59,,5920.0
Kepler-207 d,,0.295,0.068,,Kepler-207,,1.59,,5920.0
Kepler-208 b,,0.145,0.054,,Kepler-208,1.03,1.31,,6092.0
Kepler-208 c,,0.124,0.079,,Kepler-208,1.03,1.31,,6092.0
Kepler-208 d,,0.107,0.103,,Kepler-208,1.03,1.31,,6092.0
Kepler-208 e,,0.132,0.132,,Kepler-208,1.03,1.31,,6092.0
Kepler-209 b,,0.202,0.122,,Kepler-209,,0.94,,5513.0
Kepler-209 c,,0.277,0.231,,Kepler-209,,0.94,,5513.0
Kepler-20 b,0.03052,0.167,0.0463,1105.0,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-20 c,0.04012,0.272,0.0949,772.0,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-20 d,0.03168,0.245,0.3506,401.0,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-20 e,0.0097,0.077,0.0639,,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-20 f,0.045,0.089,0.1396,,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-20 g,0.0628,,0.2055,524.0,Kepler-20,0.95,0.96,7.6,5495.0
Kepler-210 b,,0.262,0.032,,Kepler-210,0.63,0.65,,4559.0
Kepler-210 c,,0.323,0.07,,Kepler-210,0.63,0.65,,4559.0
Kepler-211 b,,0.112,0.048,,Kepler-211,0.97,0.82,,5123.0
Kepler-211 c,,0.115,0.062,,Kepler-211,0.97,0.82,,5123.0
Kepler-212 b,,0.097,0.133,,Kepler-212,1.16,1.46,,5852.0
Kepler-212 c,,0.244,0.207,,Kepler-212,1.16,1.46,,5852.0
Kepler-213 b,,0.145,0.036,,Kepler-213,0.94,1.2,,5696.0
Kepler-213 c,,0.209,0.057,,Kepler-213,0.94,1.2,,5696.0
Kepler-214 b,,0.233,0.13,,Kepler-214,,1.35,,6169.0
Kepler-214 c,,0.19,0.194,,Kepler-214,,1.35,,6169.0
Kepler-215 b,,0.145,0.084,,Kepler-215,0.77,1.03,,5739.0
Kepler-215 c,,0.158,0.113,,Kepler-215,0.77,1.03,,5739.0
Kepler-215 d,,0.213,0.185,,Kepler-215,0.77,1.03,,5739.0
Kepler-215 e,,0.156,0.314,,Kepler-215,0.77,1.03,,5739.0
Kepler-216 b,,0.21,0.079,,Kepler-216,,1.26,,6091.0
Kepler-216 c,,0.271,0.136,,Kepler-216,,1.26,,6091.0
Kepler-217 b,,0.199,0.065,,Kepler-217,,1.8,,6171.0
Kepler-217 c,,0.165,0.089,,Kepler-217,,1.8,,6171.0
Kepler-217 d,,0.118,,,Kepler-217,,1.8,,6171.0
Kepler-218 b,,0.132,0.046,,Kepler-218,,1.06,,5502.0
Kepler-218 c,,0.28,0.248,,Kepler-218,,1.06,,5502.0
Kepler-218 d,,0.237,,,Kepler-218,,1.06,,5502.0
Kepler-219 b,,0.263,0.057,,Kepler-219,,1.49,,5786.0
Kepler-219 c,,0.319,0.165,,Kepler-219,,1.49,,5786.0
Kepler-219 d,,0.251,0.272,,Kepler-219,,1.49,,5786.0
Kepler-21 b,0.01598,0.146,0.042717,2025.0,Kepler-21,1.41,1.9,3.03,6305.0
Kepler-220 b,,0.072,0.046,,Kepler-220,,0.67,,4632.0
Kepler-220 c,,0.14,0.076,,Kepler-220,,0.67,,4632.0
Kepler-220 d,,0.087,0.163,,Kepler-220,,0.67,,4632.0
Kepler-220 e,,0.119,0.226,,Kepler-220,,0.67,,4632.0
Kepler-221 b,,0.153,0.037,,Kepler-221,0.72,0.82,,5243.0
Kepler-221 c,,0.261,0.059,,Kepler-221,0.72,0.82,,5243.0
Kepler-221 d,,0.244,0.087,,Kepler-221,0.72,0.82,,5243.0
Kepler-221 e,,0.235,0.13,,Kepler-221,0.72,0.82,,5243.0
Kepler-222 b,,0.282,0.048,,Kepler-222,,0.87,,5433.0
Kepler-222 c,,0.414,0.091,,Kepler-222,,0.87,,5433.0
Kepler-222 d,,0.329,0.18,,Kepler-222,,0.87,,5433.0
Kepler-223 b,0.02328,0.267,0.073,,Kepler-223,1.12,1.72,,5829.0
Kepler-223 c,0.01605,0.307,0.088,,Kepler-223,1.12,1.72,,5829.0
Kepler-223 d,0.02517,0.467,0.116,,Kepler-223,1.12,1.72,,5829.0
Kepler-223 e,0.0151,0.41,0.14,,Kepler-223,1.12,1.72,,5829.0
Kepler-224 b,,0.124,0.038,,Kepler-224,0.74,0.68,,5018.0
Kepler-224 c,,0.278,0.058,,Kepler-224,0.74,0.68,,5018.0
Kepler-224 d,,0.205,0.089,,Kepler-224,0.74,0.68,,5018.0
Kepler-224 e,,0.176,0.124,,Kepler-224,0.74,0.68,,5018.0
Kepler-225 b,,0.107,0.056,,Kepler-225,,0.48,,3682.0
Kepler-225 c,,0.164,0.111,,Kepler-225,,0.48,,3682.0
Kepler-226 b,,0.138,0.047,,Kepler-226,0.86,0.8,,5571.0
Kepler-226 c,,0.203,0.058,,Kepler-226,0.86,0.8,,5571.0
Kepler-226 d,,0.109,0.076,,Kepler-226,0.86,0.8,,5571.0
Kepler-227 b,,0.277,0.09,,Kepler-227,,1.09,,5854.0
Kepler-227 c,,0.271,0.29,,Kepler-227,,1.09,,5854.0
Kepler-228 b,,0.136,0.038,,Kepler-228,,1.01,,6043.0
Kepler-228 c,,0.241,0.052,,Kepler-228,,1.01,,6043.0
Kepler-228 d,,0.36,0.101,,Kepler-228,,1.01,,6043.0
Kepler-229 b,,0.196,0.062,,Kepler-229,,0.73,,5120.0
Kepler-229 c,,0.439,0.117,,Kepler-229,,0.73,,5120.0
Kepler-229 d,,0.343,0.22,,Kepler-229,,0.73,,5120.0
Kepler-22 b,0.113,0.212,0.849,262.0,Kepler-22,0.97,0.98,,5518.0
Kepler-230 b,,0.38,0.191,,Kepler-230,,0.82,,5588.0
Kepler-230 c,,0.182,0.38,,Kepler-230,,0.82,,5588.0
Kepler-231 b,,0.154,0.074,,Kepler-231,0.58,0.49,,3767.0
Kepler-231 c,,0.172,0.114,,Kepler-231,0.58,0.49,,3767.0
Kepler-232 b,,0.275,0.054,,Kepler-232,,0.97,,5847.0
Kepler-232 c,,0.342,0.101,,Kepler-232,,0.97,,5847.0
Kepler-233 b,,0.217,0.077,,Kepler-233,,0.76,,5360.0
Kepler-233 c,,0.242,0.287,,Kepler-233,,0.76,,5360.0
Kepler-234 b,,0.33,0.04,,Kepler-234,,1.11,,6224.0
Kepler-234 c,,0.313,0.077,,Kepler-234,,1.11,,6224.0
Kepler-235 b,,0.199,0.037,,Kepler-235,0.59,0.55,,4255.0
Kepler-235 c,,0.114,0.065,,Kepler-235,0.59,0.55,,4255.0
Kepler-235 d,,0.183,0.122,,Kepler-235,0.59,0.55,,4255.0
Kepler-235 e,,0.198,0.213,,Kepler-235,0.59,0.55,,4255.0
Kepler-236 b,,0.14,0.065,,Kepler-236,0.56,0.51,,3750.0
Kepler-236 c,,0.178,0.132,,Kepler-236,0.56,0.51,,3750.0
Kepler-237 b,,0.126,0.05,,Kepler-237,0.7,0.72,,4861.0
Kepler-237 c,,0.186,0.071,,Kepler-237,0.7,0.72,,4861.0
Kepler-238 b,,0.154,0.034,,Kepler-238,1.43,1.43,,5751.0
Kepler-238 c,,0.213,0.069,,Kepler-238,1.43,1.43,,5751.0
Kepler-238 d,,0.274,0.115,,Kepler-238,1.43,1.43,,5751.0
Kepler-238 e,0.534,0.5,,,Kepler-238,1.43,1.43,,5751.0
Kepler-238 f,0.042,0.178,,,Kepler-238,1.43,1.43,,5751.0
Kepler-239 b,,0.208,0.095,,Kepler-239,0.74,0.76,,4914.0
Kepler-239 c,,0.224,0.268,,Kepler-239,0.74,0.76,,4914.0
Kepler-23 b,0.8,0.17,0.075,,Kepler-23,1.11,1.55,,5828.0
Kepler-23 c,2.7,0.285,0.099,,Kepler-23,1.11,1.55,,5828.0
Kepler-23 d,0.055,0.196,0.124,,Kepler-23,1.11,1.55,,5828.0
Kepler-240 b,,0.122,0.048,,Kepler-240,,0.74,,4985.0
Kepler-240 c,,0.196,0.074,,Kepler-240,,0.74,,4985.0
Kepler-241 b,,0.208,0.094,,Kepler-241,,0.67,,4699.0
Kepler-241 c,,0.229,0.189,,Kepler-241,,0.67,,4699.0
Kepler-242 b,,0.233,0.075,,Kepler-242,,0.85,,5020.0
Kepler-242 c,,0.178,0.109,,Kepler-242,,0.85,,5020.0
Kepler-243 b,,0.219,0.062,,Kepler-243,0.89,0.84,,5228.0
Kepler-243 c,,0.178,0.142,,Kepler-243,0.89,0.84,,5228.0
Kepler-244 b,,0.246,0.05,,Kepler-244,,0.8,,5554.0
Kepler-244 c,,0.183,0.087,,Kepler-244,,0.8,,5554.0
Kepler-244 d,,0.206,0.14,,Kepler-244,,0.8,,5554.0
Kepler-245 b,,0.229,0.071,,Kepler-245,0.8,0.8,,5100.0
Kepler-245 c,,0.194,0.124,,Kepler-245,0.8,0.8,,5100.0
Kepler-245 d,,0.27,0.202,,Kepler-245,0.8,0.8,,5100.0
Kepler-245 e,,0.156,,,Kepler-245,0.8,0.8,,5100.0
Kepler-246 b,,0.209,0.052,,Kepler-246,0.86,0.83,,5206.0
Kepler-246 c,,0.134,0.095,,Kepler-246,0.86,0.83,,5206.0
Kepler-247 b,,0.146,0.042,,Kepler-247,0.884,0.77,,5100.0
Kepler-247 c,,0.365,0.084,,Kepler-247,0.884,0.77,,5100.0
Kepler-247 d,,0.352,0.14,,Kepler-247,0.884,0.77,,5100.0
Kepler-248 b,,0.269,0.066,,Kepler-248,,0.83,,5190.0
Kepler-248 c,,0.363,0.123,,Kepler-248,,0.83,,5190.0
Kepler-249 b,,0.097,0.035,,Kepler-249,,0.48,,3568.0
Kepler-249 c,,0.135,0.058,,Kepler-249,,0.48,,3568.0
Kepler-249 d,,0.14,0.097,,Kepler-249,,0.48,,3568.0
Kepler-24 b,1.6,0.214,0.08,,Kepler-24,1.03,1.29,,5897.0
Kepler-24 c,1.6,0.25,0.106,,Kepler-24,1.03,1.29,,5897.0
Kepler-24 d,,0.149,0.051,,Kepler-24,1.03,1.29,,5897.0
Kepler-24 e,,0.248,0.138,,Kepler-24,1.03,1.29,,5897.0
Kepler-250 b,,0.101,0.048,,Kepler-250,0.8,0.81,,5160.0
