planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
HD 23472 b,0.02618,0.16701,543,HD 23472,0.1162,0.75,0.73,,
HD 23472 c,0.01073,0.1668,467,HD 23472,0.1646,0.75,0.73,,
HD 23472 d,0.00173,0.0669,909,HD 23472,0.04298,0.75,0.73,,
HD 23472 e,0.00227,0.07298,723,HD 23472,0.068,0.75,0.73,,
HD 23472 f,0.00242,0.10144,630,HD 23472,,0.75,0.73,,
HD 23596 b,8.1,,,HD 23596,2.88,1.27,2.09,6.89,5888
HD 238090 b,0.02168,,469.6,HD 238090,0.0932,0.578,0.57,,3933
HD 238914 b,6,,,HD 238914,5.7,1.47,12.73,,4769
HD 240210 b,6.9,,,HD 240210,1.33,1.25,,,4290
HD 240237 b,5.3,,,HD 240237,1.9,1.69,32,,4361
HD 24040 b,4.01,,,HD 24040,4.92,1.18,,6.68,5853
HD 24040 c,0.201,,,HD 24040,1.3,1.18,,6.68,5853
HD 24064 b,9.4,,,HD 24064,1.29,1,38,9,4052.5
HD 24085 b,0.0371,,,HD 24085,0.034,1.22,,,6034
HD 25015 b,4.48,,,HD 25015,6.19,0.86,0.83,4,5160
HD 25171 b,0.95,,,HD 25171,3.02,1.09,1.18,2,6160
HD 25723 b,2.51,,,HD 25723,1.49,2.12,13.76,0.95,4766
HD 25723 c,1.33,,,HD 25723,4.35,2.12,13.76,0.95,4766
HD 260655 b,0.00673,0.1106,709,HD 260655,0.02933,0.439,0.439,5,3803
HD 260655 c,0.00972,0.13677,557,HD 260655,0.04749,0.439,0.439,5,3803
HD 26161 b,13.5,,,HD 26161,20.4,,,,
HD 2638 b,0.48,1.04,,HD 2638,0.044,0.93,,3,5192
HD 2685 b,1.18,1.44,2061,HD 2685,0.0568,1.44,1.57,1.3,6801
HD 27631 b,1.45,,,HD 27631,3.25,,,,
HD 27894 b,0.665,,,HD 27894,0.125,0.8,,3.9,4875
HD 27894 c,0.162,,,HD 27894,0.198,0.8,,3.9,4875
HD 27894 d,5.415,,,HD 27894,5.448,0.8,,3.9,4875
HD 27969 b,4.8,,261,HD 27969,1.552,1.16,1.27,,5966
HD 28109 b,0.058195,0.19618,881,HD 28109,0.1357,1.26,1.446,1.1,6120
HD 28109 c,,0.3774,565,HD 28109,0.308,1.26,1.446,1.1,6120
HD 28109 d,,0.2899,506,HD 28109,0.411,1.26,1.446,1.1,6120
HD 28185 b,5.7,,,HD 28185,1.03,1.24,1.03,5.36,5482
HD 28185 c,19.639,,,HD 28185,13.176,1.24,1.03,5.36,5482
HD 28254 A b,1.16,,,HD 28254 A,2.15,1.06,1.48,,5664
HD 283668 b,53.4,,,HD 283668,3.3,0.68,,,4845
HD 283869 b,,0.1749,255,HD 283869,0.4,0.74,0.66,,4655
HD 284149 b,32,,2537,HD 284149,400,1.14,,0.025,6040
HD 285507 b,0.917,,,HD 285507,0.0729,0.734,0.656,0.625,4503
HD 28678 b,1.7,,,HD 28678,1.24,1.74,6.2,1.8,5076
HD 29021 b,2.4,,,HD 29021,2.28,0.85,0.85,7.4,5560
HD 290327 b,2.54,,,HD 290327,3.43,0.9,1,,5552
HD 29399 b,1.57,,,HD 29399,1.913,1.15,4.47,6.2,4803
HD 2952 b,1.6,,,HD 2952,1.2,2.54,12.02,,4844
HD 30177 b,8.07,,,HD 30177,3.58,1.05,1.12,11.6,5580
HD 30177 c,3,,,HD 30177,6.99,1.05,1.12,11.6,5580
HD 30562 b,1.29,,,HD 30562,2.3,1.219,1.637,4,5861
HD 30669 b,0.47,,,HD 30669,2.69,0.92,0.91,4.8,5400
HD 30856 A b,1.8,,,HD 30856 A,2,1.35,4.2,3.8,4982
HD 31221 b,12,1.32,,HD 31221,,1.447,1.55,,
HD 31253 b,0.5,,,HD 31253,1.26,1.23,1.71,3,5960
HD 31527 b,0.0363,,,HD 31527,0.1253,,,,
HD 31527 c,0.0498,,,HD 31527,0.2665,,,,
HD 31527 d,0.0519,,,HD 31527,0.8181,,,,
HD 3167 b,0.0158,0.152,1669,HD 3167,0.0186,0.94,0.87,5,5528
HD 3167 c,0.0308,0.255,531,HD 3167,0.1841,0.94,0.87,5,5528
HD 3167 d,0.01362,,,HD 3167,0.0763,0.94,0.87,5,5528
HD 3167 e,0.02646,,374.8,HD 3167,0.3885,0.94,0.87,5,5528
HD 32518 b,3.04,,,HD 32518,0.59,1.13,10.22,5.83,4580
HD 32963 b,0.7,,,HD 32963,3.41,0.94,,4.99,5727
HD 330075 b,0.62,1.06,,HD 330075,0.039,0.95,,6.21,6295
HD 331093 b,1.5,,,HD 331093,1.44,,,,
HD 33142 b,1.261,1.235,,HD 33142,1.075,1.54,4.36,3,4978
HD 33142 c,0.885,1.277,,HD 33142,1.96,1.54,4.36,3,4978
HD 33142 d,0.2,,,HD 33142,0.452,1.54,4.36,3,4978
HD 332231 b,0.244,0.867,,HD 332231,0.1436,1.127,1.277,4.3,6089
HD 33283 b,0.33,0.99,,HD 33283,0.168,1.24,1.2,3.2,5995
HD 33564 b,9.1,,,HD 33564,1.1,1.25,1.1,3,6250
HD 33632 A b,50,,,HD 33632 A,23.6,1.03,,1.7,
HD 33844 b,1.96,,,HD 33844,1.6,1.75,,2.1,4827
HD 33844 c,1.75,,,HD 33844,2.24,1.75,,2.1,4827
HD 34445 b,0.629,,,HD 34445,2.075,1.07,1.38,8.5,5836
HD 34445 c,0.168,,,HD 34445,0.7181,1.07,1.38,8.5,5836
HD 34445 d,0.097,,,HD 34445,0.4817,1.07,1.38,8.5,5836
HD 34445 e,0.0529,,,HD 34445,0.2687,1.07,1.38,8.5,5836
HD 34445 f,0.119,,,HD 34445,1.543,1.07,1.38,8.5,5836
HD 34445 g,0.38,,,HD 34445,6.36,1.07,1.38,8.5,5836
HD 35759 b,3.76,,,HD 35759,0.389,1.15,,,6060
HD 360 b,0.75,,,HD 360,0.98,,,,
HD 36384 b,6.6,,,HD 36384,1.3,1.14,38.4,0.113,3940
HD 37124 b,0.675,,,HD 37124,0.53364,0.83,0.82,3.33,5610
HD 37124 c,0.652,,,HD 37124,1.71,0.83,0.82,3.33,5610
HD 37124 d,0.696,,,HD 37124,2.807,0.83,0.82,3.33,5610
HD 37605 b,2.813,,,HD 37605,0.2837,1,0.9,7,5448
HD 37605 c,3.366,,,HD 37605,3.814,1,0.9,7,5448
HD 38283 b,0.34,,,HD 38283,1.02,1.085,,5.4,5945
HD 38529 b,0.93,,,HD 38529,0.131,1.48,2.44,3.28,5697
HD 38529 c,23.7,,,HD 38529,3.695,1.48,2.44,3.28,5697
HD 38677 b,0.07636,,877,HD 38677,0.1462,1.21,1.26,2.01,6196
HD 38677 c,0.0302,0.16184,1239,HD 38677,0.0733,1.21,1.26,2.01,6196
HD 38677 d,0.01054,0.12428,1632,HD 38677,0.0422,1.21,1.26,2.01,6196
HD 38677 e,0.01299,0.13123,1314,HD 38677,0.0651,1.21,1.26,2.01,6196
HD 38801 b,10.13,1.134,,HD 38801,1.66,1.26,2.41,4.67,5207
HD 38858 b,0.0961,,,HD 38858,1.0376,,,,
HD 39194 b,0.013,,,HD 39194,0.056,,,,
HD 39194 c,0.0198,,,HD 39194,0.103,,,,
HD 39194 d,0.013,,,HD 39194,0.185,,,,
HD 39392 b,13.2,,,HD 39392,1.08,1.08,,,5951
HD 39855 b,0.0267,,,HD 39855,0.041,0.87,,,5576
HD 40307 b,0.012,,,HD 40307,0.0475,0.77,,,4977
HD 40307 c,0.0202,,,HD 40307,0.0812,0.77,,,4977
HD 40307 d,0.0275,,,HD 40307,0.134,0.77,,,4977
HD 40307 e,0.011,,,HD 40307,0.1886,0.77,,,4977
HD 40307 f,0.0114,,,HD 40307,0.2485,0.77,,,4977
HD 40307 g,0.0223,,,HD 40307,0.6,0.77,,,4977
HD 40956 b,2.7,,,HD 40956,1.4,2,8.56,1.35,4869
HD 40979 b,4.01,,,HD 40979,0.846,1.1,1.21,1.48,6205
HD 41004 A b,2.54,,,HD 41004 A,1.64,0.7,,1.64,5035
HD 41004 B b,18.4,1.06,,HD 41004 B,0.0177,0.4,,1.56,5035
HD 4113 Ab,1.56,,,HD 4113 A,1.28,1,1.084,4.8,5655.45
HD 4113 Ac,51.913,1.45,525,HD 4113 A,50.438,1,1.084,4.8,5655.45
HD 42012 b,1.6,,,HD 42012,1.67,0.83,0.82,4.1,5405
HD 4203 b,1.82,,,HD 4203,1.164,1.13,1.33,9.41,5701
HD 4203 c,2.17,,,HD 4203,,1.13,1.33,9.41,5701
HD 4208 b,0.804,,,HD 4208,1.65,0.87,0.85,4.47,5571
HD 42618 b,0.0453,,337,HD 42618,0.554,1.015,0.999,,5727
HD 42936 b,0.00812,,,HD 42936,0.0662,0.87,0.91,10.9,5138
HD 4308 b,0.0405,,,HD 4308,0.118,0.85,0.92,7.1,5597
HD 4313 b,2.3,,,HD 4313,1.19,1.72,4.9,2,5035
HD 43197 b,0.6,,,HD 43197,0.92,0.96,1,,5508
HD 43197 c,7.868,,,HD 43197,8.54,0.96,1,,5508
HD 43691 A b,2.57,,,HD 43691 A,0.238,1.38,,2.8,6200
HD 44219 b,0.58,,,HD 44219,1.19,1,1.32,,5752
HD 44385 b,5.9,,,HD 44385,1.4,1.8,18.2,1.8,4400
HD 45184 b,0.04,,,HD 45184,0.0638,,,,
HD 45184 c,0.0277,,,HD 45184,0.11,,,,
HD 45350 b,1.79,,,HD 45350,1.92,1.02,1.27,5.59,5754
HD 45364 b,0.1872,,,HD 45364,0.6813,0.82,,,5434
HD 45364 c,0.6579,,,HD 45364,0.8972,0.82,,,5434
HD 45652 b,0.47,,,HD 45652,0.23,0.83,,,5312
HD 457 b,26.572,,,HD 457,15.369,1.15,1.281,,6114.04
HD 46375 A b,0.23,1.02,,HD 46375 A,0.041,0.91,1,4.96,5199
HD 46588 b,0.25,,,HD 46588,,1.09,1.7,,6200
HD 46588 c,52,,1297,HD 46588,1420,1.09,1.7,,6200
HD 47186 b,0.07167,,,HD 47186,0.05,0.99,,,5675
HD 47186 c,0.35061,,,HD 47186,2.395,0.99,,,5675
HD 4732 A b,2.37,,,HD 4732 A,1.19,1.74,5.4,,4959
HD 4732 A c,2.37,,,HD 4732 A,4.6,1.74,5.4,,4959
HD 47366 b,1.75,,,HD 47366,1.214,1.81,7.3,1.61,4866
HD 47366 c,1.86,,,HD 47366,1.853,1.81,7.3,1.61,4866
HD 47536 b,5,,,HD 47536,1.61,0.94,23.47,9.33,4380
HD 4760 b,13.9,,,HD 4760,1.14,1.05,42.4,,4076
HD 48265 b,1.16,,,HD 48265,1.51,0.93,,,
HD 48679 b,51.055,,,HD 48679,2.11,0.98,1.148,,5564
HD 4917 b,1.615,1.224,,HD 4917,,1.32,5.01,2.4,4802
HD 49674 b,0.1,0.98,,HD 49674,0.058,1.07,0.94,2.38,5482
HD 50499 b,1.45,,,HD 50499,3.93,1.31,1.42,2.4,6099
HD 50499 c,2.93,,,HD 50499,9.02,1.31,1.42,2.4,6099
HD 50554 b,5.16,,,HD 50554,2.41,1.04,1.11,4.58,5902
HD 51608 b,0.04,,,HD 51608,0.10805,,,,
HD 51608 c,0.0521,,,HD 51608,0.38833,,,,
HD 52265 b,1.21,,,HD 52265,0.52,1.2,1.25,4.88,6159
HD 5278 b,0.0245,0.2186,943,HD 5278,0.12,1.126,1.194,3,6203
HD 5278 c,,,,HD 5278,0.2416,1.126,1.194,3,6203
HD 5319 b,1.94,,,HD 5319,1.75,1.56,3.26,2.4,5052
HD 5319 c,1.15,,,HD 5319,2.071,1.56,3.26,2.4,5052
HD 5433 b,49.11,,,HD 5433,1.37,,,,
HD 55696 b,3.87,,,HD 55696,3.18,1.29,1.52,2.6,
HD 5583 b,5.78,,,HD 5583,0.53,1.01,9.09,7.4,4830
HD 5608 b,1.681,1.222,,HD 5608,1.911,1.53,5.14,,4877
HD 56414 b,,0.331,1133,HD 56414,0.229,1.89,1.751,0.42,8500
HD 564 b,0.33,,,HD 564,1.2,0.92,1.01,5.5,5902
HD 5891 b,7.6,,,HD 5891,0.76,1.91,8.7,1.5,4907
HD 59686 A b,6.92,,,HD 59686 A,1.086,1.9,13.2,1.73,4658
HD 60292 b,6.5,,,HD 60292,1.5,1.7,27,1.8,4348
HD 60532 b,9.21,,,HD 60532,0.77,1.44,,2.7,6095
HD 60532 c,21.81,,,HD 60532,1.58,1.44,,2.7,6095
HD 60584 b,28,,,HD 60584,15.58,1.35,,1,
HD 62364 b,18.77,,,HD 62364,6.15,1.157,1.4,3.9,6255
HD 63433 b,0.0689,0.1945,870,HD 63433,0.0719,0.99,0.912,0.414,5640
HD 63433 c,0.0482,0.2427,,HD 63433,0.1458,0.99,0.912,0.414,5640
HD 63433 d,,0.09573,,HD 63433,0.0503,0.99,0.912,0.414,5640
HD 63454 b,0.39,1.06,,HD 63454,0.036,0.8,,1,4841
HD 63765 b,0.64,,,HD 63765,0.949,0.865,,4.77,5432
HD 63935 b,0.033,0.2668,911,HD 63935,0.083,0.933,0.959,,5534
HD 63935 c,0.0349,0.259,684,HD 63935,0.148,0.933,0.959,,5534
HD 64114 b,17.8,,,HD 64114,0.246,0.95,,,5676
HD 64121 b,2.56,,,HD 64121,1.51,1.64,5.44,,5966
HD 6434 b,0.39,,,HD 6434,0.14,0.79,0.57,3.8,5835
HD 65216 A b,1.295,,,HD 65216 A,1.301,0.92,,,5666
HD 65216 A c,2.03,,,HD 65216 A,5.75,0.92,,,5666
HD 66141 b,6,,,HD 66141,1.2,1.1,21.4,6.84,4305
HD 66428 b,2.82,,,HD 66428,3.18,1.14552,,5.56,5752
HD 66428 c,27,,,HD 66428,23,1.14552,,5.56,5752
HD 67087 b,3.06,,,HD 67087,1.08,1.36,1.55,1.45,6330
HD 67087 c,4.85,,,HD 67087,3.86,1.36,1.55,1.45,6330
HD 6718 b,1.56,,,HD 6718,3.56,0.96,1.02,,5745
HD 68402 b,3.07,,,HD 68402,2.18,1.12,1.02,2,5950
HD 68988 b,1.86,,,HD 68988,0.0704,1.2,1.14,6.78,5767
HD 68988 c,15,,,HD 68988,13.2,1.2,1.14,6.78,5767
HD 69123 b,3.04,,,HD 69123,2.48,1.68,7.72,,4787
HD 69830 b,0.1427,,,HD 69830,0.0785,0.86,0.895,7,5385
HD 69830 c,0.1649,,,HD 69830,0.186,0.86,0.895,7,5385
HD 69830 d,0.2529,,,HD 69830,0.63,0.86,0.895,7,5385
HD 70642 b,2,,,HD 70642,3.3,1,0.84,3.88,5670
HD 7199 b,0.29,,,HD 7199,1.36,0.89,0.96,6.79,5386
HD 72490 b,1.768,1.218,,HD 72490,1.88,1.21,4.96,,4934
HD 72659 b,3.15,,,HD 72659,4.74,0.95,1.36,6.5,5926
HD 72892 b,5.45,,,HD 72892,0.228,1.02,1.22,8,5688
HD 73256 c,16,,,HD 73256,3.8,1.05,0.89,0.83,5570
HD 73267 b,3.06,,,HD 73267,2.198,0.89,1.04,7.4,5317
HD 73344 b,,0.256,835,HD 73344,0.1331,1.378,1.43,,6460
HD 73344 c,0.3659,,562,HD 73344,0.343,1.378,1.43,,6460
HD 73526 b,2.25,,,HD 73526,0.65,1.08,1.49,5.59,5590
HD 73526 c,2.25,,,HD 73526,1.03,1.08,1.49,5.59,5590
HD 73534 b,1.15,,,HD 73534,3.15,1.29,2.65,,4952
HD 73583 b,0.0321,0.2489,721,HD 73583,0.0604,0.66,0.71,0.75,4511
HD 73583 c,0.0302,0.2436,503,HD 73583,0.1233,0.66,0.71,0.75,4511
HD 74014 b,60.8,,,HD 74014,7.07,,,,
HD 74156 b,1.778,,,HD 74156,0.2916,1.24,1.64,3.7,5960
HD 74156 c,7.997,,,HD 74156,3.82,1.24,1.64,3.7,5960
HD 7449 A b,0.508,,,HD 7449 A,2.38,1.05,1.01,2.1,6024
HD 7449 A c,19.2,,,HD 7449 A,12.7,1.05,1.01,2.1,6024
HD 7449 A d,0.053,,,HD 7449 A,,1.05,1.01,2.1,6024
HD 7449 A e,0.17,,,HD 7449 A,,1.05,1.01,2.1,6024
HD 74698 b,0.072,,,HD 74698,0.121,1.039,1.333,1.85,5783
HD 74698 c,0.4,,,HD 74698,4.5,1.039,1.333,1.85,5783
HD 75289 b,0.47,1.03,,HD 75289,0.046,1.05,1.25,4.96,6120
HD 75302 b,5.4,,,HD 75302,5.3,1.06,,2.1,
HD 75784 b,1.15,,,HD 75784,1.073,1.41,3.3,4,4917
HD 75784 c,5.6,,,HD 75784,6.5,1.41,3.3,4,4917
HD 75898 b,2.51,,,HD 75898,1.19,1.28,1.6,3.8,6021
HD 76700 b,0.23,0.99,,HD 76700,0.049,1,1.33,4.51,5726
HD 76920 b,3.13,,,HD 76920,1.187,1.17,7.47,7.1,4698
HD 77065 b,41,,,HD 77065,0.438,0.75,,,4990
HD 77338 b,0.5,,,HD 77338,0.0614,0.93,0.88,3.97,5370
HD 79181 b,0.64,,,HD 79181,0.9,,,,
HD 7924 b,0.0273,1.05,826,HD 7924,0.05664,0.832,0.78,,5177
HD 7924 c,0.0247,,584,HD 7924,0.1134,0.832,0.78,,5177
HD 7924 d,0.0203,,499,HD 7924,0.1551,0.832,0.78,,5177
HD 79498 b,1.34,,,HD 79498,3.13,1.06,,2.7,5740
HD 80275 b,56.876,,,HD 80275,23.379,,5.424,,4692
HD 80606 b,4.1641,1.032,,HD 80606,0.4603,0.98,0.98,7.63,5645
HD 80653 b,0.01762,0.144,,HD 80653,0.0166,1.18,1.22,2.67,5950
HD 80653 c,5.41,,,HD 80653,1.961,1.18,1.22,2.67,5950
HD 80869 b,4.86,,203.2,HD 80869,2.878,1.08,1.062,,5837
HD 81040 b,8.04,,,HD 81040,1.94,0.96,0.86,4.18,5700
HD 81688 b,1.77,,,HD 81688,0.66,2.1,13,,4753
HD 81817 b,27.1,,,HD 81817,3.3,4.3,83.8,0.15,4140
HD 82886 b,1.3,,,HD 82886,1.65,1.06,4.8,7,5112
HD 82943 b,14.5,,,HD 82943,1.19,1.18,1.12,3.08,5874
HD 82943 c,14.39,,,HD 82943,0.746,1.18,1.12,3.08,5874
HD 82943 d,0.29,,,HD 82943,2.145,1.18,1.12,3.08,5874
HD 8326 b,0.2095,,,HD 8326,0.533,0.8,,,4914
HD 83443 b,0.402,1.04,,HD 83443,0.0406,0.9,1.04,2.94,5460
HD 83443 c,1.35,,,HD 83443,8,0.9,1.04,2.94,5460
HD 8535 b,0.68,,,HD 8535,2.45,1.13,1.19,,6136
HD 85390 b,0.099,,,HD 85390,1.373,0.76,,7.2,5186
HD 85628 A b,3.1,1.53,,HD 85628 A,0.047,1.75,1.92,0.8,7800
HD 8574 b,2.11,,,HD 8574,0.77,1.17,1.37,7.13,6080
HD 86081 A b,1.5,1.08,,HD 86081 A,0.039,1.21,1.22,6.21,6028
HD 86226 b,0.45,,176,HD 86226,2.73,1.02,,,
HD 86226 c,0.02281,0.1927,1311,HD 86226,0.049,1.02,,,
HD 86264 b,7,,,HD 86264,2.86,1.42,1.88,2.24,6210
HD 8673 A b,14.2,,,HD 8673 A,3.02,1.35,1.39,1.95,6472
HD 86950 b,3.6,,,HD 86950,2.72,1.66,8.8,,4805
HD 87646 A b,12.4,,,HD 87646 A,0.117,1.12,1.55,,5770
HD 87646 A c,57,,,HD 87646 A,1.58,1.12,1.55,,5770
HD 87883 b,81.9,,,HD 87883,3.6,0.82,0.76,9.8,4980
HD 88133 b,0.3,1,,HD 88133,0.047,1.2,1.93,9.56,5494
HD 89307 b,2,,,HD 89307,3.34,1.028,1.05,6.76,5950
HD 89345 b,0.1123,0.612,1053,HD 89345,0.105,1.12,1.657,9.4,5609
HD 89744 b,10.32,,,HD 89744,0.917,1.4,2.14,2.04,6196
HD 89744 c,5.36,,,HD 89744,8.3,1.4,2.14,2.04,6196
HD 89839 b,5.03,,,HD 89839,4.76,1.21,1.25,1.2,6314
HD 90156 b,0.057,,,HD 90156,0.25,0.84,,4.4,5599
HD 91669 b,30.6,,,HD 91669,1.205,0.914,,,5185
HD 9174 b,1.11,,,HD 9174,2.2,1.03,1.67,9,5577
HD 92788 b,27.02,,,HD 92788,0.97,1.15,1.14,2.55,5744
HD 92788 c,3.76,,,HD 92788,10.5,1.15,1.14,2.55,5744
HD 93083 b,0.37,,,HD 93083,0.477,0.7,,6,4995
HD 93385 A b,0.0132,,,HD 93385 A,0.0756,,,,
HD 93385 A c,7.1,,,HD 93385 A,0.112,,,,
HD 93385 A d,0.0318,,,HD 93385 A,0.257,,,,
HD 93963 A b,,0.1204,2042,HD 93963 A,0.02085,1.109,1.043,1.4,5987
HD 93963 A c,,0.28799,1344,HD 93963 A,0.04813,1.109,1.043,1.4,5987
HD 9446 b,0.687,,,HD 9446,0.1892,1,1,,5793
HD 9446 c,1.7,,,HD 9446,0.646,1,1,,5793
HD 94771 b,0.53,,,HD 94771,3.48,1.2,1.903,5.733,5631
HD 94834 b,1.26,1.242,,HD 94834,2.74,1.11,4.2,,4798
HD 95086 b,2.6,,1050,HD 95086,61.7,1.6,,0.017,7550
HD 95089 b,1.2,,,HD 95089,1.51,1.58,4.9,2.5,5002
HD 95089 c,3.97,,,HD 95089,,1.58,4.9,2.5,5002
HD 95127 b,5.01,,,HD 95127,1.28,1.2,20,5.5,4218
HD 95338 b,0.12406,0.3551,402,HD 95338,0.231,0.76,0.86,5.08,5212
HD 95544 b,6.84,,156.5,HD 95544,3.386,1.09,1.088,,5722
HD 9578 b,0.62,,,HD 9578,,1.12,,,
HD 95872 b,4.6,,,HD 95872,5.2,0.95,0.93928087,10,5312
HD 96063 b,0.9,,,HD 96063,0.99,1.02,4.5,9,5148
HD 96167 b,0.68,,,HD 96167,1.3,1.31,1.86,3.8,5770
HD 96700 b,0.028,,,HD 96700,0.0777,,,,
HD 96700 c,0.011,,,HD 96700,0.141,,,,
HD 96700 d,0.04,,,HD 96700,0.424,,,,
HD 96992 b,1.14,,,HD 96992,1.24,0.96,7.43,,4725
HD 97334 b,53,,,HD 97334,2620,0.05,,,
HD 97619 b,3.5,,,HD 97619,1.6,1.3,16.7,4.9,4355
HD 97658 b,0.02457,0.20047,809,HD 97658,0.08,0.85,0.73,,5170
HD 98219 b,1.8,,,HD 98219,1.23,1.3,4.5,4,4992
HD 984 b,61,,2730,HD 984,28,1.2,,0.08,6315
HD 98649 b,6.79,,,HD 98649,6.57,1.03,1.01,2.42,5790
HD 98736 b,2.33,,,HD 98736,1.864,0.92,0.93,7.4,5544
HD 99109 b,0.502,,,HD 99109,1.105,0.93,,12.2,5272
HD 99283 b,0.97,,,HD 99283,1.08,,,,
HD 99706 b,1.4,,,HD 99706,2.14,1.72,5.4,2.1,4932
HD 99706 c,5.69,,,HD 99706,,1.72,5.4,2.1,4932
HETE J1900.1-2455 b,45,,,HETE J1900.1-2455,0.00609,1.4,,,
HH 211 b,30,,,HH 211,4.6,0.05,1.5,,
HH 211 c,8,,,HH 211,84,0.05,1.5,,
HII 1348 b,59,,,HII 1348,138,,,,
HIP 104045 b,0.5,,,HIP 104045,3.46,1.03,1.05,4.5,5826
HIP 104045 c,0.13573,,,HIP 104045,0.92,1.03,1.05,4.5,5826
HIP 105854 b,5.35,,,HIP 105854,0.655,2.1,,,4780
HIP 107772 b,0.0406,,,HIP 107772,0.243,,,,
HIP 107773 b,1.98,,,HIP 107773,0.72,2.42,11.6,,4945
HIP 109384 b,1.56,,,HIP 109384,1.134,0.78,,,5180
HIP 109600 b,2.68,,,HIP 109600,0.706,0.87,,,5530
HIP 113103 b,0.0186,0.16317,721,HIP 113103,0.06899,0.761,0.742,,4930
HIP 113103 c,0.0264,0.2141,585,HIP 113103,0.10479,0.761,0.742,,4930
HIP 114933 b,1.94,,,HIP 114933,2.84,1.39,5.27,,4824
HIP 116454 b,0.0372,0.226,690,HIP 116454,0.098,0.775,0.716,,5089
HIP 11915 b,0.99,,,HIP 11915,4.8,1,,4,5760
HIP 12961 b,0.35,,,HIP 12961,0.13,0.67,,,
HIP 14810 b,3.88,,,HIP 14810,0.0692,0.99,1,,5485
HIP 14810 c,1.28,,,HIP 14810,0.545,0.99,1,,5485
HIP 14810 d,0.57,,,HIP 14810,1.89,0.99,1,,5485
HIP 1481 b,3,,,HIP 1481,2,1.16,,0.045,
HIP 19976 b,0.068,,,HIP 19976,0.234,0.67,0.772,,4316
HIP 19976 c,30.609,,,HIP 19976,11.522,0.67,0.772,,4316
HIP 21152 b,24,,,HIP 21152,17,1.44,,0.625,
HIP 26196 b,62.547,,,HIP 26196,4.378,0.67,0.761,,4258
HIP 29724 b,63,,,HIP 29724,6.3,1.94,,0.15,
HIP 3206 b,0.173,,,HIP 3206,2.108,0.84,,,
HIP 34222 b,0.83,,,HIP 34222,0.492,0.62,,,
HIP 35173 b,0.04,,,HIP 35173,0.217,0.79,,,4881
HIP 36985 b,29,,,HIP 36985,7,0.621,,0.26,
HIP 38594 b,0.0255,,,HIP 38594,0.256,,,,
HIP 38594 c,0.1523,,,HIP 38594,3.805,,,,
HIP 38939 B,38,,,HIP 38939 A,1630,,,0.9,4683
HIP 39017 b,23.6,,,HIP 39017,335,1.52,,,
HIP 41378 b,,0.26,,HIP 41378,,1.15,1.4,,6199
HIP 41378 c,,0.228,,HIP 41378,,1.15,1.4,,6199
HIP 41378 d,,0.353,,HIP 41378,,1.15,1.4,,6199
HIP 41378 e,,0.4916,,HIP 41378,,1.15,1.4,,6199
HIP 41378 f,0.038,0.821,335,HIP 41378,1.37,1.15,1.4,,6199
HIP 4845 b,0.0453,,,HIP 4845,0.176,,,,
HIP 48714 b,0.0721,,,HIP 48714,0.112,,,,
HIP 5158 b,1.44,,,HIP 5158,0.89,0.78,,6,4962
HIP 5158 c,15.04,,,HIP 5158,7.7,0.78,,6,4962
HIP 54373 b,0.02712,,,HIP 54373,0.063,0.57,,,4021
HIP 54373 c,0.03914,,,HIP 54373,0.099,0.57,,,4021
HIP 54597 b,2.4,,,HIP 54597,4,0.69,0.66,6.9,4799
HIP 56640 b,6.77,,,HIP 56640,4.55,1.04,4.93,,4769
HIP 57050 b,0.304,,,HIP 57050,0.166,0.354,0.353,,3358
HIP 57050 c,0.227,,,HIP 57050,0.91,0.354,0.353,,3358
HIP 57274 b,0.036,,,HIP 57274,0.07,0.73,0.68,7.87,4640
HIP 57274 c,0.41,,,HIP 57274,0.178,0.73,0.68,7.87,4640
HIP 57274 d,0.527,,,HIP 57274,1.01,0.73,0.68,7.87,4640
HIP 5763 b,0.51,,,HIP 5763,0.17,0.73,,,
HIP 63242 b,9.18,,,HIP 63242,0.565,1.54,,,
HIP 63734 b,11,,,HIP 63734,30.02,1.21,,0.15,
HIP 64892 b,33,,2600,HIP 64892,159,2.35,1.79,0.016,10400
HIP 65407 b,0.428,,,HIP 65407,0.177,0.93,,,5460
HIP 65407 c,0.784,,,HIP 65407,0.316,0.93,,,5460
HIP 65426 b,7.1,1.5,1450,HIP 65426,87,1.96,1.77,0.014,8840
HIP 65891 b,5.888,,,HIP 65891,2.794,2.5,9.53,,5060
HIP 65A b,3.213,2.03,1411,HIP 65A,0.01782,0.781,0.7242,4.1,4590
HIP 67522 b,5,0.8984,1174,HIP 67522,,1.22,1.38,0.017,5675
HIP 67537 b,11.1,,,HIP 67537,4.96,2.41,8.69,,4985
HIP 67851 b,1.38,,,HIP 67851,0.46,1.63,5.52,,4890
HIP 67851 c,5.98,,,HIP 67851,3.82,1.63,5.52,,4890
HIP 68468 b,0.011,,,HIP 68468,0.029743,1.05,,5.9,5857
HIP 68468 c,0.094,,,HIP 68468,0.665,1.05,,5.9,5857
HIP 70849 b,9,,,HIP 70849,10,0.63,,3,4105
HIP 71135 b,0.0592,,,HIP 71135,0.335,0.66,,,4146
