planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
Kepler-89 b,0.033,0.153,1486,KOI-94,0.05119,1.52,3.16,6182,1486
Kepler-89 c,0.049,0.385,1012,KOI-94,0.1013,1.52,3.16,6182,1012
Kepler-89 d,0.334,1.005,806,KOI-94,0.1684,1.52,3.16,6182,806
Kepler-89 e,0.11,0.585,584,KOI-94,0.3046,1.52,3.16,6182,584
Kepler-9 d,0.016518264,0.146,2026,Kepler-9,0.0273,0.96,2,5774,2026
Kepler-91 b,0.81,1.367,2040,Kepler-91,0.0731,6.3,4.86,4550,2040
Kepler-93 b,0.0143,0.14,1037,Kepler-93,0.053,0.98,6.6,5669,1037
LHS 1140 b,0.02196,0.15407,230,LHS 1140,0.0936,0.186,5,3131,230
LP 791-18 c,0.0223,0.2061,370,LP 791-18,0.029392,0.17,0.5,2960,370
LP 890-9 b,0.0415,0.1178,396,LP 890-9,0.01875,0.1556,7.2,2850,396
LP 890-9 c,0.0796,0.12196,272,LP 890-9,0.03984,0.1556,7.2,2850,272
